Cell #,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Cell 333,0.000062,0.064201,0.437218,0.363032,0.132112,0.003349,0.000026,0,0
Cell 334,0,0,0.00011,0.006023,0.009278,0.148903,0.494909,0.274027,0.066749
Cell 335,0.035208,0.455518,0.439118,0.06785,0.002305,0,0,0,0
Cell 336,0.000004,0.008298,0.146714,0.399073,0.374575,0.067323,0.004002,0.000012,0
Cell 337,0,0,0.000131,0.009811,0.054384,0.3724,0.43906,0.09204,0.032174
Cell 338,0,0.000001,0.000284,0.014667,0.08404,0.272705,0.438534,0.162225,0.027544
Cell 339,0.000321,0.193058,0.478315,0.262543,0.063699,0.00204,0.000025,0,0
Cell 340,0.010092,0.204149,0.443553,0.248649,0.088159,0.00534,0.000059,0,0
Cell 341,0,0.000169,0.007989,0.080945,0.255471,0.426309,0.212693,0.016406,0.000019
Cell 342,0.000007,0.007545,0.134885,0.373361,0.412637,0.065643,0.005881,0.000042,0
Cell 343,0.000009,0.009931,0.203892,0.518129,0.268039,0,0,0,0
Cell 344,0.000032,0.125232,0.475734,0.284602,0.111994,0.002375,0.000031,0,0
Cell 345,0,0.000017,0.001481,0.043468,0.063193,0.333437,0.377698,0.134868,0.045839
Cell 346,0,0,0.000001,0.00043,0.006077,0.082441,0.362915,0.415126,0.13301
Cell 347,0.000005,0.006753,0.156928,0.519655,0.316659,0,0,0,0
Cell 348,0,0.000042,0.003848,0.062129,0.199364,0.384173,0.304134,0.046211,0.000098
Cell 349,0.000106,0.023881,0.190126,0.294565,0.337795,0.151638,0.001888,0.000001,0
Cell 350,0.00027,0.020426,0.16875,0.309854,0.384474,0.111214,0.005,0.000013,0
Cell 351,0.0002,0.083112,0.463874,0.31864,0.129887,0.004253,0.000034,0,0
Cell 352,0,0,0.000001,0.001267,0.013564,0.231953,0.489564,0.172375,0.091276
Cell 353,0.000409,0.053743,0.312347,0.403576,0.20148,0.027117,0.001326,0.000003,0
Cell 354,0,0,0.000008,0.001938,0.026153,0.318701,0.489097,0.105951,0.058153
Cell 355,0.000001,0.004269,0.132387,0.36734,0.457872,0.035336,0.002779,0.000016,0
Cell 356,0.001006,0.190398,0.470929,0.288856,0.047393,0.001417,0.000001,0,0
Cell 357,0.000063,0.016336,0.347452,0.467578,0.168312,0.000259,0,0,0
Cell 358,0,0,0.000001,0.000468,0.004112,0.089099,0.554058,0.279786,0.072476
Cell 359,0.003279,0.236454,0.476823,0.234215,0.047444,0.001784,0.000002,0,0
Cell 360,0,0,0.000003,0.001129,0.010251,0.272374,0.647742,0.05379,0.014711
Cell 361,0,0,0.000008,0.001415,0.013319,0.105278,0.348197,0.382801,0.148983
Cell 362,0.003886,0.08345,0.311947,0.315389,0.256947,0.02791,0.000472,0,0
Cell 363,0,0.000002,0.000135,0.00714,0.045722,0.741107,0.195837,0.003139,0.006917
Cell 364,0.000525,0.043888,0.166888,0.162764,0.327515,0.294487,0.003928,0.000004,0
Cell 365,0,0.000003,0.000447,0.020072,0.092004,0.405948,0.399687,0.070541,0.011298
Cell 366,0,0,0.000002,0.000947,0.010836,0.18709,0.548411,0.166137,0.086577
Cell 367,0,0.000799,0.025659,0.18457,0.294867,0.381738,0.108916,0.003449,0.000002
Cell 368,0,0,0.000044,0.006117,0.042616,0.489036,0.388373,0.046926,0.026888
Cell 369,0.010245,0.173415,0.455008,0.251061,0.105467,0.004768,0.000036,0,0
Cell 370,0.008329,0.194567,0.482677,0.212516,0.085892,0.01595,0.000068,0,0
Cell 371,0,0,0.000028,0.005916,0.035654,0.297258,0.499842,0.122284,0.039018
Cell 372,0.000003,0.005023,0.136177,0.510846,0.331688,0.016264,0,0,0
Cell 373,0,0,0,0.000174,0.002076,0.072178,0.544909,0.304312,0.076351
Cell 374,0,0,0.00001,0.001446,0.019589,0.108828,0.249792,0.493498,0.126836
Cell 375,0.003075,0.235025,0.492168,0.218309,0.049683,0.001732,0.000008,0,0
Cell 376,0,0,0,0.000155,0.002025,0.063198,0.492989,0.385339,0.056294
Cell 377,0,0.00005,0.006026,0.080898,0.32196,0.388466,0.17632,0.025324,0.000954
Cell 378,0,0,0.000049,0.006632,0.046673,0.493855,0.384007,0.043189,0.025595
Cell 379,0,0.000812,0.033141,0.189626,0.369409,0.288289,0.095909,0.022742,0.000073
Cell 380,0,0,0.000027,0.004337,0.03566,0.381861,0.468795,0.068079,0.041241
Cell 381,0,0,0.000069,0.008448,0.071511,0.313173,0.410822,0.179295,0.016682
Cell 382,0,0,0.000002,0.000306,0.003995,0.044255,0.343615,0.452095,0.155732
Cell 383,0,0.000379,0.027562,0.162205,0.453416,0.268642,0.082751,0.005042,0.000002
Cell 384,0.05683,0.556918,0.351509,0.03392,0.000822,0.000001,0,0,0
