Cell #,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Cell 1022,0,0.002041,0.048137,0.263504,0.492016,0.161641,0.032132,0.000528,0.000001
Cell 1023,0,0.000005,0.002855,0.381206,0.59232,0.023613,0,0,0
Cell 1024,0.000001,0.001363,0.052548,0.535582,0.403993,0.006514,0,0,0
Cell 1025,0,0.000113,0.009862,0.1175,0.368924,0.403516,0.096922,0.002583,0.000581
Cell 1026,0,0,0.000045,0.00495,0.033513,0.231318,0.380231,0.267045,0.082899
Cell 1027,0,0.000009,0.001229,0.220927,0.718787,0.059048,0,0,0
Cell 1028,0,0.000052,0.006844,0.32819,0.645247,0.019667,0,0,0
Cell 1029,0.000084,0.029074,0.334968,0.411334,0.219619,0.00492,0,0,0
Cell 1030,0,0.000003,0.000569,0.016639,0.104527,0.428478,0.378649,0.051914,0.019221
Cell 1031,0.000232,0.073106,0.332529,0.457676,0.130009,0.006428,0.000021,0,0
Cell 1032,0.012649,0.253962,0.510346,0.209252,0.013786,0.000006,0,0,0
Cell 1033,0,0,0.00035,0.196314,0.645703,0.157633,0,0,0
Cell 1034,0.999998,0.000001,0.000001,0,0,0,0,0,0
Cell 1035,0.009195,0.36164,0.526697,0.098303,0.004164,0.000002,0,0,0
Cell 1036,0,0.000014,0.001233,0.0291,0.142219,0.454712,0.33175,0.0258,0.015172
Cell 1037,0,0,0.000005,0.000774,0.009721,0.041916,0.257599,0.402224,0.287761
Cell 1038,0.000013,0.006566,0.088304,0.28407,0.383678,0.200938,0.035725,0.000706,0
Cell 1039,0.000017,0.012378,0.023257,0.963279,0.001069,0,0,0,0
Cell 1040,0.000801,0.213692,0.558337,0.123689,0.103481,0,0,0,0
Cell 1041,0.000002,0.00114,0.061992,0.42769,0.412532,0.096645,0,0,0
Cell 1042,0.000668,0.178099,0.444403,0.292657,0.079829,0.004273,0.00007,0,0
Cell 1043,0,0.000028,0.006993,0.319749,0.67323,0,0,0,0
Cell 1044,0.001765,0.117389,0.513682,0.322954,0.04421,0,0,0,0
Cell 1045,0,0,0.000002,0.000862,0.009281,0.094501,0.389462,0.370894,0.134997
Cell 1046,0.999997,0.000003,0,0,0,0,0,0,0
Cell 1047,0.999752,0.00006,0.000071,0.000033,0.000085,0,0,0,0
Cell 1048,0,0,0.000007,0.001925,0.017504,0.215438,0.484037,0.186676,0.094412
Cell 1049,0,0,0.000001,0.000461,0.007697,0.086031,0.327396,0.441713,0.136701
Cell 1050,0,0.000003,0.00155,0.255123,0.706578,0.036745,0,0,0
Cell 1051,0,0,0,0.000038,0.000759,0.013293,0.154518,0.660523,0.170869
Cell 1052,0.053584,0.445212,0.43543,0.060538,0.005237,0,0,0,0
Cell 1053,0,0.000812,0.026765,0.199304,0.333341,0.314549,0.119823,0.005396,0.00001
Cell 1054,0,0.000082,0.005668,0.070345,0.241868,0.47874,0.192355,0.010941,0
Cell 1055,0,0,0,0.000145,0.001851,0.029297,0.261234,0.576044,0.131429
Cell 1056,0,0,0,0.000029,0.000603,0.015669,0.207406,0.642302,0.133992
Cell 1057,0,0.000003,0.000334,0.014906,0.072997,0.246865,0.417244,0.211394,0.036258
Cell 1058,0.000001,0.00828,0.332371,0.349421,0.301656,0.008151,0.000119,0,0
Cell 1059,0.999975,0.000011,0.000007,0.000003,0.000004,0,0,0,0
Cell 1060,0,0.000001,0.000113,0.009511,0.055992,0.400282,0.458684,0.054966,0.020452
Cell 1061,0,0.000027,0.003923,0.44192,0.48863,0.065499,0,0,0
Cell 1062,0,0,0.00005,0.005894,0.05008,0.214436,0.499258,0.183875,0.046407
Cell 1063,0,0.000001,0.000177,0.01065,0.068917,0.416814,0.435571,0.047735,0.020136
Cell 1064,0,0.000005,0.001468,0.269428,0.729099,0,0,0,0
Cell 1065,0.998131,0,0.001804,0.000055,0.000002,0.000008,0,0,0
Cell 1066,0,0,0,0.00026,0.002946,0.089848,0.615609,0.256307,0.035031
Cell 1067,0,0,0.000001,0.000498,0.003004,0.102175,0.558384,0.253521,0.082418
Cell 1068,0,0.000005,0.000999,0.030971,0.158118,0.324449,0.342173,0.140261,0.003025
Cell 1069,0,0.000007,0.004339,0.347414,0.551594,0.096647,0,0,0
Cell 1070,0.143064,0.545445,0.277313,0.032961,0.001218,0,0,0,0
Cell 1071,0,0.000152,0.015072,0.38018,0.604596,0,0,0,0
Cell 1072,0.000001,0.007089,0.113653,0.370236,0.379519,0.113061,0.016206,0.000234,0
Cell 1073,0.00002,0.029943,0.296169,0.42493,0.213938,0.03377,0.001227,0.000004,0
Cell 1074,0.123289,0.558805,0.292091,0.025034,0.000781,0,0,0,0
Cell 1075,0,0,0.000002,0.000775,0.007848,0.147066,0.682892,0.144917,0.0165
Cell 1076,0.00346,0.146602,0.538605,0.287687,0.023637,0.000009,0,0,0
Cell 1077,0,0,0.000037,0.005415,0.031471,0.147953,0.319565,0.402243,0.093315
Cell 1078,0,0,0.000061,0.006393,0.037565,0.20997,0.395181,0.279624,0.071206
Cell 1079,0,0.000001,0.000057,0.004325,0.021387,0.220286,0.606985,0.123411,0.023548
Cell 1080,0,0.000161,0.022018,0.524189,0.453631,0,0,0,0
Cell 1081,0.025676,0.469534,0.452357,0.050881,0.001553,0,0,0,0
Cell 1082,0.000022,0.001531,0.074433,0.537602,0.386412,0,0,0,0
Cell 1083,0.000154,0.114983,0.484775,0.321792,0.076903,0.001391,0.000003,0,0
Cell 1084,0,0,0.000026,0.002991,0.005468,0.174207,0.539067,0.218004,0.060237
Cell 1085,0.007475,0.173959,0.426963,0.265715,0.113503,0.012225,0.000159,0,0
Cell 1086,0,0.000055,0.009798,0.426966,0.550883,0.012298,0,0,0
Cell 1087,0,0,0.000003,0.001277,0.009391,0.16257,0.539889,0.212391,0.074479
Cell 1088,0,0,0.000003,0.000142,0.004315,0.056757,0.136516,0.592399,0.209868
Cell 1089,0,0.000019,0.002483,0.274684,0.722815,0,0,0,0
Cell 1090,0,0.002003,0.050835,0.247866,0.423895,0.226982,0.047625,0.000793,0.000002
Cell 1091,0,0.000004,0.002631,0.056057,0.296351,0.373455,0.227837,0.023641,0.020022
Cell 1092,0.005152,0.310049,0.549581,0.130961,0.004257,0,0,0,0
Cell 1093,0,0,0.000009,0.002153,0.016895,0.212693,0.540714,0.175383,0.052154
Cell 1094,0,0.000049,0.006588,0.098302,0.440306,0.385416,0.057306,0.010228,0.001806
Cell 1095,0,0.000001,0.000372,0.015764,0.103166,0.299239,0.429126,0.105906,0.046427
Cell 1096,0.327556,0.54717,0.123971,0.001291,0.000011,0,0,0,0
Cell 1097,0.000991,0.164878,0.479473,0.278892,0.074127,0.001631,0.000008,0,0
Cell 1098,0.73789,0.244565,0.017491,0.000054,0.000001,0,0,0,0
Cell 1099,0.00018,0.133192,0.484598,0.309287,0.070905,0.001825,0.000012,0,0
Cell 1100,0,0.000011,0.003809,0.393634,0.602546,0,0,0,0
Cell 1101,0,0.00044,0.020345,0.174992,0.410647,0.265583,0.122914,0.005059,0.00002
Cell 1102,0,0,0.000003,0.001006,0.009783,0.079989,0.263472,0.476724,0.169023
Cell 1103,0,0.000013,0.000478,0.034126,0.098632,0.46116,0.391402,0.011892,0.002297
Cell 1104,0,0.000447,0.02194,0.162738,0.351976,0.338441,0.117336,0.007101,0.000021
Cell 1105,0,0.000058,0.004558,0.08535,0.390786,0.332726,0.121451,0.04433,0.02074
Cell 1106,0.000719,0.197674,0.47959,0.250751,0.067747,0.003462,0.000057,0,0
Cell 1107,0.160531,0.492975,0.287922,0.051055,0.006952,0.000563,0.000002,0,0
Cell 1108,0,0.000056,0.005349,0.060839,0.241982,0.384942,0.266194,0.040472,0.000167
Cell 1109,0,0.000774,0.047107,0.243002,0.556077,0.131583,0.020523,0.000934,0.000001
Cell 1110,0,0.000003,0.000793,0.029462,0.131638,0.271535,0.347356,0.206851,0.012361
Cell 1111,0,0.000014,0.001946,0.300462,0.697578,0,0,0,0
Cell 1112,0.405513,0.52278,0.071113,0.000583,0.000011,0,0,0,0
Cell 1113,0,0.003221,0.100579,0.376241,0.446863,0.068113,0.004966,0.000017,0
Cell 1114,0.000026,0.023166,0.231582,0.435008,0.28226,0.027547,0.000411,0,0
Cell 1115,0.00001,0.022753,0.367731,0.488118,0.121356,0.000031,0,0,0
Cell 1116,0.005065,0.326373,0.464463,0.185026,0.018472,0.0006,0,0,0
Cell 1117,0.007413,0.337252,0.546642,0.103488,0.005205,0,0,0,0
Cell 1118,0,0,0.000001,0.000406,0.004898,0.091224,0.513052,0.298582,0.091837
Cell 1119,0.00003,0.047011,0.36997,0.422198,0.152772,0.007991,0.000028,0,0
Cell 1120,0,0.000259,0.009545,0.102502,0.202621,0.39316,0.244861,0.045624,0.001428
Cell 1121,0.000355,0.034352,0.240932,0.347494,0.321094,0.054724,0.001049,0,0
Cell 1122,0,0,0.000017,0.001464,0.019745,0.065766,0.159334,0.661081,0.092593
Cell 1123,0,0.000201,0.011313,0.178782,0.261252,0.382707,0.153742,0.011973,0.00003
Cell 1124,0,0.000002,0.000166,0.008046,0.031028,0.19026,0.499478,0.222072,0.048947
Cell 1125,0,0,0,0.000178,0.002857,0.089536,0.607075,0.261896,0.038457
Cell 1126,0,0.002328,0.061038,0.309135,0.431968,0.162239,0.032223,0.001068,0
Cell 1127,0.000025,0.024231,0.284039,0.522506,0.168976,0.000224,0,0,0
Cell 1128,0.002185,0.248882,0.486968,0.229977,0.031718,0.00027,0,0,0
Cell 1129,0.062987,0.600108,0.310705,0.025862,0.000337,0.000001,0,0,0
Cell 1130,0.841098,0.157481,0.00088,0.000541,0,0,0,0,0
Cell 1131,0.000001,0.003009,0.117819,0.550899,0.32705,0.001223,0,0,0
Cell 1132,0.000026,0.02671,0.332391,0.534868,0.105916,0.000088,0,0,0
Cell 1133,0,0,0.000001,0.000448,0.003724,0.083251,0.523433,0.326279,0.062865
Cell 1134,0,0,0.000017,0.002766,0.032207,0.25731,0.42804,0.205131,0.07453
Cell 1135,0,0,0,0.000069,0.001315,0.026899,0.23874,0.633999,0.098979
Cell 1136,0.999975,0.000015,0.00001,0.000001,0,0,0,0,0
Cell 1137,0,0.000001,0.000551,0.036933,0.161739,0.800776,0,0,0
Cell 1138,0.000944,0.340923,0.619682,0.033758,0.00461,0.000084,0,0,0
Cell 1139,0.210068,0.590729,0.184534,0.011863,0.002805,0,0,0,0
Cell 1140,0,0.005752,0.181992,0.491624,0.310716,0.009916,0,0,0
Cell 1141,0,0,0.000043,0.005007,0.035302,0.1458,0.340034,0.350979,0.122835
Cell 1142,0.001472,0.200525,0.488851,0.253979,0.053116,0.002054,0.000004,0,0
Cell 1143,0,0,0.000043,0.006592,0.039307,0.307749,0.416324,0.182458,0.047526
Cell 1144,0.000005,0,0.00482,0.386943,0.535813,0.072419,0,0,0
Cell 1145,0.000162,0.114132,0.462959,0.339306,0.080535,0.002901,0.000006,0,0
Cell 1146,0.000023,0.035766,0.429141,0.45173,0.083305,0.000035,0,0,0
Cell 1147,0,0.00494,0.158821,0.586901,0.248917,0.000421,0,0,0
Cell 1148,0.000001,0.011475,0.225861,0.411523,0.330899,0.019738,0.000502,0,0
Cell 1149,0,0,0.000027,0.001775,0.022015,0.408826,0.445961,0.043123,0.078273
Cell 1150,0.000003,0.006557,0.173593,0.530914,0.287628,0.001305,0,0,0
Cell 1151,0,0,0.000002,0.000963,0.00939,0.091638,0.343295,0.412942,0.141769
Cell 1152,0.000001,0.011648,0.249687,0.428953,0.299024,0.010629,0.000059,0,0
Cell 1153,0.000007,0.027759,0.415852,0.383214,0.169915,0.003252,0,0,0
Cell 1154,0,0.000098,0.007499,0.095943,0.290968,0.324892,0.241447,0.039105,0.000048
Cell 1155,0,0.000019,0.005241,0.269529,0.657716,0.067495,0,0,0
Cell 1156,0,0,0,0.000026,0.000502,0.020703,0.275944,0.636528,0.066297
Cell 1157,0.000001,0.000026,0.005261,0.263986,0.556395,0.17433,0,0,0
Cell 1158,0,0.000036,0.002732,0.082442,0.259064,0.282082,0.273043,0.082429,0.018172
Cell 1159,0.544551,0.454103,0.001323,0.000018,0.000004,0,0,0,0
Cell 1160,0,0.000019,0.003244,0.076808,0.223773,0.388229,0.261714,0.046124,0.000088
Cell 1161,0.00002,0.014751,0.029536,0.954628,0.001064,0,0,0,0
Cell 1162,0.000271,0.046222,0.251016,0.455766,0.103303,0.133106,0.01027,0.000039,0.000006
Cell 1163,0.000076,0.013332,0.182816,0.356999,0.396731,0.047602,0.00244,0.000005,0
Cell 1164,0.888631,0.095023,0.014133,0.00158,0.000632,0,0,0,0
Cell 1165,0.000591,0.116558,0.459085,0.388678,0.035077,0.000012,0,0,0
Cell 1166,0.000313,0.163468,0.567201,0.238937,0.029752,0.000328,0,0,0
Cell 1167,0.000001,0.00009,0.010575,0.29946,0.689875,0,0,0,0
Cell 1168,0.244692,0.651031,0.10286,0.001386,0.000031,0,0,0,0
Cell 1169,0,0.004541,0.108587,0.330616,0.508276,0.044754,0.003131,0.000095,0
Cell 1170,0,0,0.000293,0.168451,0.609731,0.221525,0,0,0
Cell 1171,0.012896,0.753932,0.229578,0.003525,0.000068,0,0,0,0
Cell 1172,0,0.000163,0.006259,0.103056,0.269263,0.376619,0.220794,0.02243,0.001416
Cell 1173,0.000332,0.190982,0.558474,0.191455,0.058757,0,0,0,0
Cell 1174,0.001266,0.223094,0.506829,0.2324,0.035978,0.000431,0.000002,0,0
Cell 1175,0.000004,0.044951,0.41903,0.381838,0.145483,0.008345,0.000348,0.000002,0
Cell 1176,0,0.00053,0.017516,0.155229,0.265566,0.317608,0.21433,0.029189,0.000031
Cell 1177,0.000001,0.000005,0.000546,0.01272,0.058588,0.123659,0.068938,0.206133,0.529411
Cell 1178,0,0.000038,0.012692,0.148648,0.838622,0,0,0,0
Cell 1179,0.000927,0.187028,0.457729,0.294899,0.058708,0.000705,0.000005,0,0
Cell 1180,0.000059,0.061603,0.581501,0.322786,0.034052,0,0,0,0
Cell 1181,0,0.000001,0.003365,0.208629,0.682925,0.105079,0,0,0
Cell 1182,0,0,0.000005,0.001622,0.01002,0.12269,0.346395,0.406181,0.113087
Cell 1183,0,0.000015,0.003214,0.350964,0.636073,0.009734,0,0,0
Cell 1184,0,0.000316,0.026929,0.41212,0.559267,0.001368,0,0,0
Cell 1185,0,0,0,0.000017,0.000432,0.008056,0.105935,0.698414,0.187146
Cell 1186,0,0,0,0.000582,0.006307,0.072007,0.382435,0.408088,0.130581
Cell 1187,0,0.000108,0.012713,0.175293,0.214229,0.299999,0.219582,0.078041,0.000035
Cell 1188,0,0.000001,0.000527,0.228874,0.770598,0,0,0,0
Cell 1189,0,0,0,0.000038,0.000828,0.022888,0.268317,0.637254,0.070675
Cell 1190,0,0,0.000016,0.002918,0.033723,0.044664,0.079867,0.242137,0.596676
Cell 1191,0.001025,0.336649,0.597141,0.059715,0.005372,0.000097,0,0,0
Cell 1192,0,0.000003,0.002777,0.222344,0.762,0.012877,0,0,0
Cell 1193,0,0.001682,0.064014,0.315846,0.484663,0.121501,0.012103,0.000192,0
Cell 1194,0.000101,0.224196,0.500718,0.245043,0.029758,0.000185,0,0,0
Cell 1195,0,0.00039,0.012345,0.207049,0.780216,0,0,0,0
Cell 1196,0,0,0.001991,0.099361,0.466314,0.432334,0,0,0
Cell 1197,0.000002,0.008395,0.163233,0.435245,0.35269,0.039653,0.000783,0.000001,0
Cell 1198,0.000001,0.007081,0.128127,0.388158,0.394605,0.077986,0.004027,0.000016,0
Cell 1199,0,0,0.000005,0.001352,0.020133,0.130077,0.251353,0.471306,0.125773
Cell 1200,0,0,0.000013,0.002856,0.022645,0.139145,0.308,0.41072,0.116621
Cell 1201,0,0,0.00001,0.001739,0.003071,0.076986,0.346878,0.439724,0.131592
Cell 1202,0,0,0.000004,0.001572,0.014179,0.072512,0.222797,0.483611,0.205325
Cell 1203,0.001214,0.217284,0.603973,0.152474,0.025055,0,0,0,0
Cell 1204,0,0,0,0.000112,0.002144,0.02805,0.168063,0.596484,0.205148
Cell 1205,0,0,0.000267,0.180702,0.79371,0.025321,0,0,0
Cell 1206,0,0.000248,0.014539,0.362916,0.58361,0.038688,0,0,0
Cell 1207,0.000065,0.036586,0.311246,0.430425,0.208937,0.012692,0.000049,0,0
Cell 1208,0,0,0,0.000089,0.001653,0.019151,0.197859,0.549311,0.231937
Cell 1209,0,0,0.000001,0.000526,0.003555,0.057732,0.51733,0.326693,0.094162
Cell 1210,0,0,0.000011,0.002863,0.018516,0.140578,0.389615,0.270753,0.177663
Cell 1211,0.808173,0.186203,0.005619,0.000004,0,0,0,0,0
Cell 1212,0.149645,0.466676,0.295012,0.06761,0.019237,0.001812,0.000008,0,0
Cell 1213,0.017961,0.474494,0.469428,0.034149,0.003969,0,0,0,0
Cell 1214,0,0,0.000004,0.001315,0.018113,0.147574,0.407504,0.338877,0.086613
Cell 1215,0.000093,0.022184,0.175094,0.370226,0.360783,0.070059,0.00156,0,0
Cell 1216,0.000013,0.027435,0.392688,0.484044,0.095798,0.000022,0,0,0
Cell 1217,0,0,0.000156,0.146254,0.748452,0.105138,0,0,0
Cell 1218,0,0,0.000077,0.007264,0.04425,0.240905,0.415367,0.237449,0.054688
Cell 1219,0.000011,0.075906,0.494745,0.343326,0.08514,0.000871,0.000001,0,0
Cell 1220,0.000418,0.113186,0.638776,0.21279,0.03483,0,0,0,0
Cell 1221,0,0.000001,0.000976,0.261325,0.651873,0.085824,0,0,0
Cell 1222,0,0.000399,0.042111,0.47662,0.478469,0.002401,0,0,0
Cell 1223,0.000783,0.178559,0.546353,0.260134,0.014172,0,0,0,0
Cell 1224,0.000223,0.171576,0.47768,0.29839,0.051234,0.000896,0.000002,0,0
Cell 1225,0.003054,0.032911,0.089398,0.358751,0.291358,0.21345,0.011059,0.000013,0.000005
Cell 1226,0,0,0.000002,0.000417,0.005154,0.072702,0.491954,0.343187,0.086585
Cell 1227,0,0,0.000148,0.022164,0.062654,0.915034,0,0,0
Cell 1228,0,0.000007,0.004289,0.271517,0.608536,0.11565,0,0,0
Cell 1229,0,0,0.000655,0.22783,0.689605,0.08191,0,0,0
Cell 1230,0,0,0.000007,0.001662,0.019033,0.146386,0.407195,0.330982,0.094734
Cell 1231,0,0,0.000007,0.001958,0.024745,0.181704,0.41259,0.308856,0.070139
Cell 1232,0.001873,0.168815,0.585764,0.232075,0.011461,0.000012,0,0,0
Cell 1233,0,0.000018,0.00148,0.055065,0.165986,0.44432,0.285145,0.047609,0.000377
Cell 1234,0,0.00021,0.03357,0.134265,0.444925,0.335485,0.050961,0.000583,0.000001
Cell 1235,0.013036,0.334124,0.558091,0.088693,0.006057,0,0,0,0
Cell 1236,0,0.000008,0.004744,0.390442,0.604806,0,0,0,0
Cell 1237,0.333016,0.467213,0.179857,0.017699,0.001858,0.000355,0.000001,0,0
Cell 1238,0.366637,0.617127,0.016126,0.000094,0.000014,0.000002,0,0,0
Cell 1239,0.000002,0.00377,0.145792,0.490179,0.277092,0.083166,0,0,0
Cell 1240,0.000893,0.143758,0.667117,0.166882,0.021266,0.000083,0,0,0
Cell 1241,0,0,0.000029,0.006121,0.036134,0.459825,0.408797,0.055721,0.033373
Cell 1242,0.023393,0.450239,0.396622,0.110112,0.019634,0,0,0,0
Cell 1243,0.000035,0.091482,0.499051,0.314489,0.093688,0.001255,0.000001,0,0
Cell 1244,0.059057,0.682143,0.256004,0.002647,0.000149,0,0,0,0
Cell 1245,0,0.000045,0.004316,0.372727,0.569099,0.053812,0,0,0
Cell 1246,0,0.001811,0.080723,0.610571,0.302805,0.004089,0,0,0
Cell 1247,0.001797,0.251718,0.577763,0.161889,0.006833,0.000001,0,0,0
Cell 1248,0,0,0.000004,0.001068,0.017446,0.110022,0.296944,0.444516,0.13
Cell 1249,0.000001,0.005143,0.159334,0.552873,0.276266,0.006383,0,0,0
Cell 1250,0.061938,0.403249,0.470649,0.061603,0.00256,0.000002,0,0,0
Cell 1251,0.000331,0.074338,0.488191,0.383941,0.053186,0.000014,0,0,0
Cell 1252,0,0,0.000052,0.004378,0.03713,0.174226,0.431361,0.246182,0.10667
Cell 1253,0.000025,0.029102,0.436591,0.462766,0.071122,0.000395,0,0,0
Cell 1254,0.250386,0.561303,0.185058,0.003123,0.000117,0.000014,0,0,0
Cell 1255,0,0,0.000254,0.134005,0.620577,0.245164,0,0,0
Cell 1256,0,0,0.000042,0.003461,0.032271,0.154766,0.237634,0.414265,0.157561
Cell 1257,0,0.000079,0.007481,0.359138,0.606664,0.026638,0,0,0
Cell 1258,0.000052,0.024303,0.286856,0.531078,0.157046,0.000666,0,0,0
Cell 1259,0.0001,0.058305,0.422789,0.4117,0.103396,0.0037,0.000008,0,0
Cell 1260,0,0.000083,0.011258,0.356553,0.632107,0,0,0,0
Cell 1261,0,0,0.003814,0.163693,0.270478,0.562015,0,0,0
Cell 1262,0,0.00276,0.122759,0.551994,0.319512,0.002974,0,0,0
Cell 1263,0,0,0.000006,0.00213,0.024844,0.250847,0.428506,0.218663,0.075005
Cell 1264,0.000005,0.000708,0.009912,0.135918,0.203354,0.478054,0.169626,0.00188,0.000544
Cell 1265,0,0,0.000004,0.001571,0.016222,0.181391,0.431463,0.265991,0.103359
Cell 1266,0.000462,0.06073,0.49937,0.346141,0.084331,0.008939,0.000026,0,0
Cell 1267,0.000002,0.005974,0.167316,0.606773,0.219253,0.000682,0,0,0
Cell 1268,0.059355,0.475234,0.42499,0.039502,0.000917,0.000001,0,0,0
Cell 1269,0,0.000951,0.041111,0.289655,0.435609,0.206117,0.026411,0.000144,0.000002
Cell 1270,0,0,0.000597,0.171224,0.781805,0.046374,0,0,0
Cell 1271,0,0,0.000195,0.109693,0.566938,0.323174,0,0,0
Cell 1272,0.000289,0.224967,0.679192,0.090882,0.004663,0.000007,0,0,0
Cell 1273,0.000001,0.006378,0.17214,0.449398,0.372084,0,0,0,0
Cell 1274,0.002422,0.337254,0.448953,0.185891,0.025225,0.000255,0,0,0
Cell 1275,0.001381,0.151386,0.640095,0.186238,0.02088,0.00002,0,0,0
Cell 1276,0.000068,0.109636,0.615664,0.255797,0.018834,0.000001,0,0,0
Cell 1277,0,0,0.000959,0.255149,0.712737,0.031155,0,0,0
Cell 1278,0.000393,0.107697,0.512075,0.353623,0.026206,0.000006,0,0,0
Cell 1279,0,0,0,0.000048,0.000963,0.029642,0.374583,0.537031,0.057733
Cell 1280,0.001595,0.111463,0.590607,0.256503,0.039388,0.000444,0,0,0
Cell 1281,0.00244,0.161393,0.56343,0.255538,0.017172,0.000027,0,0,0
Cell 1282,0,0,0.000262,0.050973,0.179637,0.769127,0,0,0
Cell 1283,0,0,0.000045,0.00437,0.041229,0.202876,0.417458,0.257913,0.076109
Cell 1284,0.00001,0.014558,0.302181,0.519533,0.162165,0.001553,0,0,0
Cell 1285,0,0,0.002819,0.446421,0.473401,0.077359,0,0,0
Cell 1286,0.000131,0.062568,0.409461,0.426945,0.097677,0.003209,0.000008,0,0
Cell 1287,0.007119,0.155678,0.616858,0.20226,0.017903,0.000181,0,0,0
Cell 1288,0,0.001777,0.120554,0.513558,0.351957,0.012154,0,0,0
Cell 1289,0.004139,0.335743,0.469824,0.171616,0.018438,0.000239,0,0,0
Cell 1290,0,0,0.000016,0.00516,0.023981,0.214969,0.524009,0.204191,0.027674
Cell 1291,0,0,0.000102,0.194878,0.56071,0.24431,0,0,0
Cell 1292,0.000015,0.023799,0.320096,0.444049,0.203307,0.008726,0.000008,0,0
Cell 1293,0,0.000039,0.003973,0.062324,0.250951,0.376568,0.25529,0.050856,0
Cell 1294,0.068017,0.603455,0.312014,0.016182,0.000332,0.000001,0,0,0
Cell 1295,0.013229,0.430437,0.470989,0.084225,0.00112,0,0,0,0
Cell 1296,0,0.000024,0.002469,0.051559,0.11741,0.358606,0.359391,0.109467,0.001075
Cell 1297,0,0,0.00221,0.210262,0.528474,0.259054,0,0,0
Cell 1298,0.500593,0.427698,0.068429,0.002941,0.000075,0.000265,0,0,0
Cell 1299,0.056166,0.482737,0.437866,0.022476,0.000742,0.000013,0,0,0
Cell 1300,0.00663,0.407196,0.504168,0.080471,0.001534,0.000001,0,0,0
Cell 1301,0,0.000002,0.001885,0.195246,0.802867,0,0,0,0
Cell 1302,0,0,0,0.00046,0.004012,0.148214,0.613088,0.184455,0.049771
Cell 1303,0.013349,0.471308,0.433607,0.079484,0.002253,0,0,0,0
Cell 1304,0,0,0,0.000025,0.000605,0.026281,0.333077,0.562549,0.077462
Cell 1305,0,0,0,0.000032,0.000541,0.030535,0.385354,0.510851,0.072687
Cell 1306,0,0.000018,0.014549,0.378097,0.607336,0,0,0,0
Cell 1307,0.02414,0.394897,0.539894,0.038063,0.003005,0,0,0,0
Cell 1308,0,0.000547,0.024343,0.188148,0.424765,0.275364,0.082654,0.004177,0.000002
Cell 1309,0,0.001019,0.071214,0.446239,0.468178,0.01335,0,0,0
Cell 1310,0,0,0,0.000616,0.008078,0.089701,0.309796,0.460743,0.131065
Cell 1311,0.003994,0.30219,0.496537,0.178151,0.018753,0.000374,0.000001,0,0
Cell 1312,0,0.000008,0.001525,0.164027,0.36683,0.46761,0,0,0
Cell 1313,0,0.001286,0.076155,0.365595,0.316492,0.240472,0,0,0
Cell 1314,0,0.000001,0.003293,0.233952,0.755996,0.006757,0,0,0
Cell 1315,0.006032,0.380536,0.521121,0.089649,0.002662,0,0,0,0
Cell 1316,0.00001,0.02005,0.236292,0.494026,0.235906,0.013466,0.000249,0,0
Cell 1317,0,0,0.000001,0.000772,0.010719,0.147026,0.47606,0.278263,0.087158
Cell 1318,0,0.061829,0.461266,0.317434,0.155966,0.003482,0.000023,0,0
Cell 1319,0,0,0,0.000036,0.000704,0.021288,0.282344,0.588045,0.107583
Cell 1320,0.00204,0.281644,0.616518,0.09438,0.005417,0.000003,0,0,0
Cell 1321,0.000001,0.002618,0.073699,0.294769,0.466883,0.146202,0.015766,0.000061,0
Cell 1322,0,0,0.000003,0.002132,0.016549,0.091381,0.265182,0.507702,0.117051
Cell 1323,0,0,0.000001,0.000395,0.004635,0.045485,0.379148,0.418683,0.151653
Cell 1324,0.081528,0.555038,0.340942,0.021195,0.001298,0,0,0,0
Cell 1325,0.014819,0.448772,0.46983,0.064886,0.001692,0,0,0,0
Cell 1326,0.002905,0.765045,0.229294,0.002628,0.000127,0,0,0,0
Cell 1327,0.000203,0.107238,0.495595,0.332831,0.062666,0.001466,0.000001,0,0
Cell 1328,0,0.000012,0.003681,0.435514,0.522309,0.038485,0,0,0
Cell 1329,0.000641,0.081251,0.521284,0.319418,0.076965,0.000442,0,0,0
Cell 1330,0.000052,0.038501,0.287492,0.48119,0.169878,0.02249,0.000397,0,0
Cell 1331,0,0,0.000002,0.000673,0.004502,0.097896,0.610172,0.238508,0.048248
Cell 1332,0.007275,0.31021,0.609013,0.067736,0.005669,0.000097,0,0,0
Cell 1333,0.00002,0.019709,0.306053,0.544952,0.128965,0.0003,0,0,0
Cell 1334,0.000001,0.000649,0.098755,0.62194,0.276312,0.002343,0,0,0
Cell 1335,0.000002,0.00533,0.152065,0.50013,0.340932,0.001541,0,0,0
Cell 1336,0,0,0,0.000119,0.001508,0.056521,0.482333,0.385078,0.074442
Cell 1337,0.001104,0.26851,0.623937,0.103,0.003448,0,0,0,0
Cell 1338,0.979808,0.02009,0.000102,0,0,0,0,0,0
Cell 1339,0.000118,0.047275,0.398829,0.500392,0.053294,0.000093,0,0,0
Cell 1340,0,0.00001,0.006855,0.336642,0.650534,0.005959,0,0,0
Cell 1341,0.00474,0.282047,0.576367,0.130864,0.005982,0,0,0,0
Cell 1342,0,0,0.000006,0.00115,0.016357,0.182967,0.420186,0.274273,0.10506
