Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 1(s.e.m),Layer 2(s.e.m),Layer 3(s.e.m),Layer 4(s.e.m),Layer 5(s.e.m),Layer 6(s.e.m),Layer 7(s.e.m),Layer 8(s.e.m),Layer 9(s.e.m),p-values,q-values
Ralgps2,1.63022E-05,1.71484E-05,1.80951E-05,1.78242E-05,1.85461E-05,1.77785E-05,2.12972E-05,2.0006E-05,1.75231E-05,4.24884E-06,2.77072E-06,2.32286E-06,2.04121E-06,3.06911E-06,2.72226E-06,3.69792E-06,3.80412E-06,3.18338E-06,0.030858347,0.076738943
Raly;a;AK172452,3.28094E-05,2.58472E-05,3.26669E-05,3.4067E-05,3.2163E-05,3.78548E-05,3.03818E-05,2.69491E-05,2.48175E-05,1.19841E-05,4.07245E-06,4.26249E-06,3.87598E-06,3.91047E-06,5.52182E-06,4.50951E-06,3.75573E-06,3.85634E-06,0.31961879,0.30905895
Ralyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Ramp1,6.13012E-08,8.04647E-07,9.44541E-07,1.11119E-06,8.53012E-07,4.75892E-07,3.94243E-07,2.86098E-07,6.58621E-07,5.39398E-08,5.59877E-07,4.38016E-07,6.34749E-07,5.46734E-07,2.80968E-07,2.37537E-07,1.71738E-07,4.76127E-07,8.72338E-05,0.000678246
Ramp2;Vps25,0.000171883,0.000148661,0.000138495,0.000135246,0.000141801,0.000161735,0.000144318,0.000129231,0.000120791,3.13677E-05,1.21453E-05,6.29766E-06,6.48912E-06,6.87211E-06,1.10432E-05,8.15693E-06,7.8718E-06,8.43346E-06,0.81653944,0.44788739
Ramp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Ran,6.91731E-05,9.10753E-05,8.45208E-05,7.68197E-05,7.72171E-05,7.07173E-05,6.90222E-05,8.17852E-05,8.45742E-05,1.23201E-05,7.14258E-06,4.88799E-06,4.02935E-06,4.58599E-06,5.01687E-06,4.60369E-06,7.10234E-06,7.77004E-06,0.003998289,0.01701984
Ranbp1,6.51668E-05,6.7046E-05,7.09918E-05,6.29336E-05,6.33581E-05,6.04918E-05,5.69992E-05,5.38018E-05,5.41135E-05,1.02235E-05,5.61559E-06,5.27411E-06,3.81126E-06,4.06691E-06,4.38217E-06,3.81631E-06,4.33016E-06,4.8137E-06,0.36787514,0.33300622
Ranbp10;mKIAA1464,5.36814E-05,6.27409E-05,6.06673E-05,6.63968E-05,0.000070176,6.90187E-05,6.62704E-05,6.53743E-05,6.66907E-05,8.51301E-06,6.0565E-06,4.03513E-06,4.60352E-06,4.30194E-06,5.28756E-06,4.61009E-06,6.08646E-06,6.18801E-06,0.35250958,0.32525637
Ranbp17,3.25838E-07,3.05554E-07,3.59758E-07,3.60895E-07,2.16988E-07,5.63428E-09,9.56077E-21,5.83003E-21,8.97712E-21,3.34147E-07,2.44279E-07,3.74584E-07,2.87869E-07,1.64488E-07,5.4316E-09,9.39876E-21,5.77107E-21,8.86245E-21,0.67257716,0.43116333
Ranbp2,1.11333E-05,1.51924E-05,1.05373E-05,1.74154E-05,1.64114E-05,1.8805E-05,1.48633E-05,1.18352E-05,9.51444E-06,4.10257E-06,6.55864E-06,1.50952E-06,4.50253E-06,2.43724E-06,2.93085E-06,2.0419E-06,2.12688E-06,1.73198E-06,0.27872232,0.28723622
Ranbp3,4.4924E-05,3.53163E-05,3.96659E-05,3.59965E-05,3.59286E-05,3.17029E-05,2.59809E-05,2.25838E-05,2.1368E-05,1.3195E-05,4.49017E-06,3.88269E-06,3.0121E-06,3.28087E-06,4.04511E-06,2.97217E-06,3.02825E-06,2.83259E-06,0.003457892,0.015284074
Ranbp3l,3.34203E-13,1.30548E-09,5.20399E-08,4.48918E-07,1.09373E-06,5.87288E-07,1.43532E-07,1.63895E-08,2.14967E-11,3.36487E-13,1.30099E-09,5.13244E-08,3.22579E-07,8.22423E-07,6.02076E-07,1.47733E-07,1.67498E-08,2.20411E-11,0.37310371,0.33397641
Ranbp6,2.70281E-10,3.01606E-08,2.64347E-07,1.14995E-06,1.68837E-06,1.76622E-06,9.57907E-07,4.53228E-07,4.5707E-07,2.80212E-10,2.17149E-08,1.45034E-07,5.382E-07,7.83295E-07,1.03951E-06,6.07835E-07,2.90215E-07,3.32007E-07,0.90386063,0.45339027
Ranbp9,6.91142E-06,3.05628E-06,3.53368E-06,4.83274E-06,6.39054E-06,6.50244E-06,7.84145E-06,7.66506E-06,7.33641E-06,3.9869E-06,9.19545E-07,6.79242E-07,7.31408E-07,1.15234E-06,1.2131E-06,1.48244E-06,1.64236E-06,1.52633E-06,0.49324823,0.3795694
Rangap1;mKIAA1835,0.000117383,9.14177E-05,9.41492E-05,9.37663E-05,9.28956E-05,8.65587E-05,8.43673E-05,8.42216E-05,7.86943E-05,2.36121E-05,6.52621E-06,6.55143E-06,5.16163E-06,5.60803E-06,6.74142E-06,5.18766E-06,6.12773E-06,7.05732E-06,0.026521482,0.068818076
Rangrf,2.42564E-08,2.27405E-07,1.93545E-07,3.2455E-07,5.54958E-07,5.56645E-08,1.38665E-07,2.11682E-07,1.27751E-07,1.84094E-08,1.60075E-07,1.24396E-07,1.60669E-07,2.95769E-07,3.05889E-08,1.35969E-07,2.08281E-07,1.26181E-07,0.79987316,0.44788739
Rap1a,2.18108E-05,1.96007E-05,2.14503E-05,2.18454E-05,2.13328E-05,1.80703E-05,2.15127E-05,2.50019E-05,3.74484E-05,8.00646E-06,3.06661E-06,2.8838E-06,2.61743E-06,2.26091E-06,2.32557E-06,2.68525E-06,4.04846E-06,1.35326E-05,0.01429215,0.044707341
Rap1b,1.41062E-05,9.2953E-06,9.94566E-06,1.13901E-05,1.13105E-05,1.67521E-05,1.23845E-05,1.28579E-05,1.1334E-05,7.36601E-06,1.99158E-06,1.6338E-06,1.6674E-06,1.63815E-06,6.11596E-06,1.96339E-06,2.6916E-06,2.28159E-06,0.65093415,0.42489349
Rap1gap2;mKIAA1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Rap1gds1,2.43156E-05,2.98995E-05,3.10017E-05,3.14627E-05,2.567E-05,3.1393E-05,3.05175E-05,2.81285E-05,2.49764E-05,7.51121E-06,4.13156E-06,3.0553E-06,3.87382E-06,2.46141E-06,3.65588E-06,3.19132E-06,3.8261E-06,4.35598E-06,0.049045642,0.10504655
Rap2a,6.06866E-05,4.58477E-05,4.76202E-05,4.10646E-05,3.48935E-05,2.84531E-05,2.58928E-05,2.52307E-05,2.67702E-05,1.70137E-05,4.32187E-06,4.19404E-06,3.3993E-06,2.91995E-06,2.86699E-06,2.89415E-06,4.05062E-06,4.85847E-06,3.01057E-06,3.36125E-05
